No,Time,Whole country,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
1,2015_1,50.3,83.7,53,62.8,50.2,39.3,45.4,44.8,,58.7,28.9,38.7,36.2,30.5,23.5,32.6,42.7,43.1
2,2015_2,55.3,91.5,57.2,70.4,55.5,44.2,49.1,48.4,,63.9,31.6,41.3,38.7,32.6,25.1,35.5,45.6,48.2
3,2015_3,54.5,90.4,57.3,72.2,54.9,44.5,48,49,,62.8,30.9,39.8,37.1,31.8,24.4,34.2,45.2,49.9
4,2015_4,56.4,93.7,60.6,73.9,58.2,46.5,48.6,51.9,,64.9,32.2,40.6,37.5,32.7,25.5,34.7,46.4,65.3
5,2016_1,56.5,95.2,61.9,71.4,57.7,47.1,48.9,51.5,,65.3,33.2,40.4,38.2,33.5,26.6,35.4,48.7,69.2
6,2016_2,55.3,94.1,60.5,70.5,57,46.1,47.8,51.4,,64.4,33.2,39.7,36.7,32.3,26,34.4,46.9,70.6
7,2016_3,56,96.8,62.5,69.2,57.7,46.1,47.9,53.1,,65.1,33.7,39.1,36.9,32.6,26.6,33.9,47,73.6
8,2016_4,58.9,102.4,68.4,70.6,61.3,46.9,50.5,54.7,,68.9,36.6,39.9,37.9,33.9,28,33.6,48.4,78.9
9,2017_1,59.3,103.6,70.8,72,62,46.9,51.5,57,,69.7,36.6,39.8,37.2,34.4,28.4,33.3,47.8,85.1
10,2017_2,60.1,107.2,73,72.2,61.6,47.4,51.9,57.8,,69.9,38.7,39.4,36.8,35.4,29.6,33.1,47.9,87.7
11,2017_3,60.1,110.3,73,72.9,62.8,47.7,52.4,55.9,,70.4,38,39.4,36.7,36.3,30.3,32.5,47.2,87.6
12,2017_4,61.3,116.7,73.5,72,65.1,48.6,53.1,56.8,,71.5,39.9,39.4,38.1,36.5,31.3,33.3,46.4,82.6
13,2018_1,60.1,118.8,71.4,72.3,65.1,48.1,53.1,54.5,,70.8,38.8,37.7,37.1,36.2,31.3,32.7,44.6,84.1
14,2018_2,59.3,122.7,69.9,71.8,64.3,47.5,51.9,52.6,,69.9,38.3,36.8,36.4,35.7,31.4,31.7,42.8,84.5
15,2018_3,57.5,130.3,65.8,69.1,62.8,47.4,50.7,50.3,,68.3,37.7,35.2,36.4,33.6,30.5,29.7,41.7,88.1
16,2018_4,56.6,133.3,63.6,68.7,61.3,48.9,51,47.4,,67.8,36.2,33.1,35.9,33.4,30.9,29,40.6,87.7
17,2019_1,54.6,129.9,61.3,66.3,59.7,48.3,50,45.3,,66,34.6,31.1,34.6,31.3,30.2,27.8,38.5,82.7
18,2019_2,52.4,124.6,58.3,63.6,57.3,45.8,48.2,43.2,,63.4,33,30.4,33.2,29.4,28.7,26.6,36.4,75.4
19,2019_3,51.1,123.6,57.2,61.3,56.7,43.9,49.2,43.2,,62.1,31.3,29.6,32.7,29.2,28.2,26.3,35.6,71.8
20,2019_4,50.5,126.6,56.4,60.3,55.4,43.6,50.8,43.2,,61.8,30.4,29.1,32,28.7,27.9,25.6,34.9,70.3
21,2020_1,49.7,132.2,53.9,58.7,54.2,42.7,52.4,42.3,,61.9,29,28.2,31,27.2,26.7,24.3,33.3,66.6
22,2020_2,52.1,142.8,55.5,59.9,57.3,43.5,57.8,44.1,,68.8,30.3,31.2,31.5,27.4,26.7,24.4,34.2,64.5
23,2020_3,52.3,144.5,54.2,60.3,56.9,42.9,58,43.3,,68.9,30.6,30.4,31.2,27.2,26.8,24.3,33.5,64.4
24,2020_4,57.4,153.4,61.3,64.1,58.9,44.3,61.9,48.3,127.8,76.4,31.1,30.9,32.4,27.4,27.5,25.5,35.2,67.3
25,2021_1,63.6,166.2,66.1,70.2,63.1,45.9,66.4,53.5,135.7,86.5,31.7,31.7,34.2,28.8,28.8,26.7,37.6,69.2
26,2021_2,68.3,172.9,68.6,72.3,72.2,48.1,69.3,54.2,140.4,93.4,32.1,33.4,35.6,29.7,29.2,27.2,38.1,66.8
27,2021_3,73.5,182,71.2,73.4,80.5,49.5,75.4,56.4,142.3,102.2,33.4,35.1,37.4,31.4,30.1,28.7,39.2,66.8
28,2021_4,83.5,199.2,82.1,78.6,91.4,59.4,83.7,61,144.8,113.7,38.1,40.2,41.4,36.2,33,33.1,44,78.9
