"국가별",2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020
"국가별",외환보유액,금제외,외환보유액,금제외,외환보유액,금제외,외환보유액,금제외,외환보유액,금제외,외환보유액,금제외
"아시아",,,,,,,,,,,,
"한국",367962,363167,371102,366307,389267,384472,403694,398900,408816,404021,443098,438303
"이스라엘",90575,90575,95446,95446,113010,113010,115266,115266,126008,126008,173292,173292
"일본",1233153,1207019,1216843,1188327,1264141,1232244,1270466,1238935,1322443,1284974,1390809,1344283
"터키",110527,92921,104971,90919,107657,84115,92997,72867,105620,78532,93199,49958
"북아메리카",,,,,,,,,,,,
"캐나다",79753,79695,82718,82718,86678,86678,83926,83926,85297,85297,90428,90428
"멕시코",177597,173458,178025,173536,175448,170458,176380,171445,183024,177177,199056,191769
"미국",117581,106540,117332,106291,123293,112252,125798,114757,129479,118438,144890,133849
"남아메리카",,,,,,,,,,,,
"칠레",38641,38633,40493,40484,38982,38971,39859,39849,40656,40643,39166,39151
"콜롬비아",46223,46104,46176,45962,47131,46699,47888,47359,52652,51973,58500,58248
"코스타리카",7834,7834,7574,7574,7150,7150,7501,7501,8937,8937,7232,7232
"유럽",,,,,,,,,,,,
"오스트리아",22236,12698,23359,12940,21574,9894,23207,11653,23600,9906,30470,13416
"벨기에",24099,16352,23565,15103,26159,16673,26870,17487,28957,17835,33321,19470
"체코",64491,64148,85729,85366,147976,147583,142512,142151,149855,149464,166113,165541
"덴마크",65187,62917,64245,61764,75244,72470,70936,68200,66818,63577,72816,68777
"에스토니아",415,406,352,343,345,335,755,745,1426,1414,1997,1982
"핀란드",10016,8341,10484,8655,10508,8458,10312,8284,11424,9020,13485,10492
"프랑스",138164,55193,146771,56125,156401,54781,166628,66103,188865,69725,224503,76114
"독일",173682,58507,185286,59582,200092,59357,198228,59173,223833,59185,268776,63969
"그리스",6026,2189,6893,2695,7807,3096,7585,2918,8501,2950,11944,5006
"헝가리",33124,33019,25824,25824,28002,27874,31361,30068,31831,30288,41353,39434
"아이슬란드",5041,4973,7226,7153,6567,6483,6322,6239,6782,6685,6419,6299
"아일랜드",2203,1999,3592,3368,4413,4162,5223,4975,5732,5439,7464,7098
"이탈리아",130557,47034,136044,44803,151199,48919,152508,51331,175256,55341,210955,61614
"라트비아",3446,3220,3514,3268,4614,4337,4371,4098,4479,4155,5290,4885
"리투아니아",1697,1499,2602,2386,4450,4207,5771,5531,5085,4800,4847,4493
"룩셈부르크",771,694,974,891,878,785,939,847,1055,945,1189,1050
"네덜란드",38205,17341,36133,13342,38442,12893,38468,13195,43285,13331,54038,16734
"노르웨이",57456,57456,60445,60445,65924,65924,63145,63145,66946,66946,75259,75259
"폴란드",94910,91395,114372,110535,113267,108975,116957,111656,128392,117196,154219,140316
"포르투갈",19397,6367,25132,10899,26109,10153,24943,9159,24981,6271,29502,6199
"슬로바키아",2892,1812,2892,1712,3622,2300,5231,3923,7167,5617,9347,7417
"슬로베니아",856,748,743,625,890,758,933,802,1015,860,1311,1118
"스페인",53970,44378,63144,52666,69409,57663,70650,59030,74715,60944,81318,64168
"스웨덴",58107,53814,59386,54730,62216,56951,60567,55386,55490,49354,58279,50617
"스위스",602709,566960,679359,640594,811196,767680,786971,744167,854804,804004,1083481,1020172
"영국",148129,137535,135044,123500,150803,137924,172681,159872,173568,158376,180129,161188
"유로지역",701396,333872,745796,344413,803032,353249,823167,378391,913603,386571,1079105,422968
"오세아니아",,,,,,,,,,,,
"오스트레일리아",45718,43059,53586,50872,66584,63561,53875,51048,58742,56364,43006,39620
"뉴질랜드",14700,14700,17808,17808,20684,20684,17657,17657,17814,17814,13733,13733
